"","txt"
"509","resistance movements in the reform process when they are taxed for the first time. The
undeveloped tax administrations, mostly engaged in cash management, were not prepared
to do their work in a modern income tax system. A main problem was the lack of skills
and experience of the tax administration with market-oriented taxes, alongside the failure
of salaries to attract quality personnel to the tax administration profession. Moreover,
weaknesses in the application of tax practices have induced substantial problems.
Unstable tax policies had damaging effects to the economic and social system. Sloppy tax
legislation and the arbitrariness of rulings on behalf of the tax administration (Owsiak,
2007) have reduced state‘s credibility. New procedures have only been implemented
slowly (for an overview see Martinez-Vazquez and McNab, 1997). Casanegra de
Jantscher, Silvani and Vehorn (1992) point out that tax collection problems arise in
transition countries as, e.g., taxpayers are required to ―physically make a trip to either a
tax office, a post office, or a bank‖ (p. 125). This presupposes that these services are
reliable. Furthermore, much greater problems result from the fact that with an increasing
amount of taxpayers it becomes much more difficult to detect tax evaders or avoiders. In
this context it might be interesting to see to which extent tax morale has changed over
time and what shapes tax morale in Central and Eastern European countries (CEE).
        Frey and Torgler (2007) explore differences in tax morale between Western and
Eastern Europe because the reform process in the transition countries caused
disorientation and a heavy economic burden according to Kasper and Streit (1999) and
Gërxhani (2004). The rapid collapse of institutional structures produced a vacuum in
many countries that led to large social costs, especially in terms of worsening income
inequality and poverty rates and bad institutional conditions based on uncertainty and
high transaction costs. The countries in CEE have more secure property rights, because
the transition process occurred earlier and more rapidly. Gërxhani (2004) points out that
many transition countries have an institutional crisis after the collapse of communism.
She argues that an institutional crisis produces a gap between old institutional destruction
and the establishment of new institutions. A reform process imposes high costs of
disorientation and economic burden (Kasper and Streit, 1999). It is thus useful to observe
the development of tax morale as a dependent variable over time, controlling for many
factors. It is interesting to analyze the development over time in various Central and
                                                                                          45
"
"510","Eastern European countries as countries started the course of transition from different
historical backgrounds, physical endowments and reform processes. One of the most
difficult processes is the transformation of social contracts. Stiglitz (1999) points out: ―If
―reformers‖ simply destroy the old norms and constraints in order to ―clean the slate‖
without allowing for the time-consuming processes of reconstructing new norms, then the
new legislated institutions may well not take hold‖ (p. 9). Table A6 reports higher
institutional quality in CEE countries, than in FSU countries using six proxies of the
governance indicators developed by Kaufmann, Kraay, and Mastruzzi (2004). Thus
individual uncertainty was reduced leading to a better transition process with more stable
institutions. As in many developing countries we might observe that transition countries
are in a situation of ―over-government‖ and ―under-government‖ (Frey and Eichenberger,
1999, p. 89). There is a strong combination of interventionism and bureaucracy. On the
other hand, property rights are not sufficiently secured and there is a high degree of
uncertainty, reducing thus the incentive for investment. For transition countries it is
difficult to find the right equilibrium of state activity, as the collapse of communism was
a collapse of a vast state apparatus. A frequent use of the exit option in form of tax
evasion or tax avoidance by entering the shadow economy has the negative effect of
reducing the state‘s tax collection, affecting thus the revenues governments need to
provide public goods and to build trustworthy institutions. Many countries might react
with the problematic strategy of increasing taxes. This enlarges the shadow economy, as
the incentive for enterprises to evade taxes increases; they just pay, e.g., more bribes to
protect themselves (see Levin and Satarov, 2000). Campos and Coricelli (2002) stress
that reforms progressed much faster in CEE countries than in FSU countries. Moreover,
Martinez-Vazquez and McNab (2000) argue that, in countries negotiating their accession
to the European Union, the accession intention acted as a catalyst for rapid tax reform
shaped along western lines. As a consequence, one would predict significantly lower tax
morale in Former Soviet Union (FSU) economies than in CEE economies. Rose-
Ackerman (2001) reports that citizens are critical regarding the transition process and
state institutions and officials and that the ―sense of stasis is highest for the former parts
of the Soviet Union‖ (p. 419).
                                                                                           46
"
"511","        Table 2 presents mean tax morale values for transition countries in the first 9
years transition periods based on a scale from 0 to 3, were 3 is the highest tax morale (tax
morale is never justifiable) while value 0 integrates values 4 to 10 (see Torgler, 2003).
CEE countries show a higher tax morale than FSU countries. Furthermore, we can see a
decay of tax morale over time between the years 1990 and 1997. These results are in line
with the registered decline of the living standard in the transition countries. This effect is
much stronger for FSU than for CEE countries. One can also see a high decay of tax
morale in the Baltic countries Latvia, Lithuania and Estonia. However, between the years
1995-1997 and 1999-2000, a stabilization of tax morale in the FSU countries and an
increase of tax morale in CEE countries is observed. However, the main disadvantage in
this case is the fact that only a small number of countries participated in all three survey
waves.
        Poland shows a consistent increase of tax morale over time. Kasper and Streit
(1999) point out that Poland‘s strategy after the fall of the Berlin Wall, was a continuous
and systematic institutional transformation without the unnecessarily rapid approach
favored amongst other nations. We find a strong economic growth in the years 1994 to
1997. Between 1989 and 1997 Poland had an average annual rate of GDP growth of 1.6,
which was the highest among the transition countries. Thus, it is not surprising that
Poland in our analysis improved tax morale over time. Kornai (2000) stresses that the
main explanations for the success of development in Poland were the successful macro
stabilization, the bottom-up growth of the private sector, and the inflow of foreign capital.
Furthermore, Poland was the first transition country after Hungary to reform its income
tax (Martinez-Vazquez and McNab, 2000). Several Central and Eastern European
countries have tried in the last decade to simplify their tax systems which may have
contributed to an increase in tax compliance reducing the tax compliance costs (Hayoz
and Hug, 2007). Changes in the tax system in line with developed countries on the road
to integration with the EU (Owsiak, 2007). Interestingly, Bulgaria also shows a strong
increase of tax morale. Bulgaria fell into a depression with a strong decline in the
beginning of the 90s. Between 1989 and 1997, the real GDP fell by 37.2% and
unemployment increased from 2% (1991) to 14% (1997). Furthermore, real living
standards decreased with subsequent reductions in consumption (Bristow, 2000). Bogetić
                                                                                           47
"
"512","(1995) points out that the initial transformation conditions in Bulgaria were more similar
to FSU countries than to CEE countries. Bulgaria had a strong decline in revenues in the
first years after the collapse of traditional tax bases, similar to the countries Albania,
Moldova, Lithuania, Armenia, Georgia. However, at the end of 1994 considerable efforts
have been made to liberalize the economy enabling output to commence growing anew.
But Bogetić and Hassan (1997) criticize the income tax development in Bulgaria. The
1993 amendments have complicated the tax system and increased the marginal tax rates
from 40 to 52 %. On the other hand, Martinez-Vazquez (1995) states that in 1994
Bulgaria has already established good revenue assignment systems as, e.g., local own-
source revenues. Looking at the 1999-2000 data for CEE countries we observe low
values from Romania. Uslaner (2007, p. 36) stresses that it ―may not make much sense to
have much faith in the legal system where the courts and the police cannot – or will not –
control corruption or where citizens cannot see that their contribution to the public weal
actually makes the public more wealthy. In this sense, Romania is not exceptional: There
may be less reason for Romanians to have faith in their leaders, who have been unable to
control corruption or to bring its citizens prosperity.‖
        Frey and Torgler (2007) use a multivariate approach to explore country
differences working with the EVS 1999-2000. The estimated coefficient for the Western
Europe dummy, suggests that the institutional crisis in many transition countries in
Eastern Europe after the collapse of communism, tended to affect negatively the tax
morale of citizens. The marginal effects indicate that being a citizen of a Western
European country, rather than an Eastern European country, increases the probability of
responding that tax evasion is never justified by more than 3 percentage points. Frey and
Torgler (2007) also explored single country differences with Table A7 in the Appendix
presenting the results. Country dummies are included in the estimation equation, using
GERMANY as a reference. It is interesting to note that the Central Eastern European
(CEE) countries, Hungary, Czech Republic, Slovak Republic, Bulgaria, Croatia, and
Poland exhibit higher tax morale than Germany. The coefficient of the first four countries
is statistically significant. Table A7 also reveals that Former Soviet Union (FSU)
countries, such as Russia, Belarus, Ukraine, Lithuania, Estonia or Latvia have lower tax
morale than Central Eastern European (CEE) countries. It seems that CEE countries have
                                                                                       48
"
"513","been more successful than FSU countries at designing tax systems, tax administrations,
and government structures in which taxpayers can put their trust. Hence, our results
suggest that CEE countries have been more successful than FSU countries at designing
tax systems, tax administrations, and government structures in which taxpayers can place
their trust. Such institutional improvements and observable changes may help to explain
the higher willingness to cooperate in CEE countries, some of which exhibit higher
values of tax morale than some Western European countries.
         Torgler (2007) explores the differences between CEE and FSU in different stages,
namely in 1989-1993, 1995-1998 and 1999-2001 across 22 transition countries. Using a
multivariate analysis, the study finds that that in most of the three time periods there is a
statistically significant difference between CEE and FSU countries; interestingly, the
difference between CEE and FSU is statistically significant in all specifications. The
marginal effects are much higher in the years 1995-1998, indicating a higher divergence
between the regions. The study also indicates that the respondents originating from a
CEE rather than from a FSU country, increases the probability of stating that ―tax evasion
is never justified‖ by around 13 percentage points (compared to around 2 percentage
points in 1989-1993). Looking at the 1999-2001 data, FSU countries have still
significantly lower tax morale than the CEE countries. However, the marginal effects
have not increased as in the previous years and some are even observed to be lower (close
to 9 percentage points).
         What are the driving forces that shape tax morale in Central Eastern and Former
Soviet Union countries? Trust in the government and the legal system seemed to be key
factors. Governments fulfill a leading role in the transition process; institutional changes
are connected to uncertainty. Institutions provide a reduction of uncertainty by designing
the provided structure of interaction. As a consequence, greater certainty in the political
process is gained. Ensley and Munger (2001) argue that ―if rules are not formalized, the
players may spend too much time arguing over the rules and less time competing in
productive activities‖ (p. 116). And Kasper and Streit (1999) stress that ―Strong
institutional controls and accountability are required to control deeply rooted agent
opportunism. The rule of law has to be imposed on all government agents‖ (p. 432).
Thus, stable and easily knowable institutions help create reliability. A government based
                                                                                          49
"
"514","on a well-functioning democracy produces more trust than a dictatorship. A lack of
public trust undermines state revenues and thus the government‘s ability to perform its
function. Trust in public officials might tend to increase taxpayers‘ positive attitudes and
commitment to the tax system and tax-payment, which finally exerts a positive influence
upon tax compliance. As seen before in the previous sections, institutions taxpayers
perceive as fair and efficient might have a positive effect on tax morale, conditionally
depending on whether society views taxes as a price paid for government‘s positive
actions. Thus, if taxpayers trust their public officials, they are more willing to be honest.
If the government acts trustworthily, taxpayers might be more willing to comply with the
taxes. Similar to the tax administration, the relationship between taxpayers and
government can be seen as a relational contract or psychological contract, which involves
strong emotional ties and loyalties. Such a psychological tax contract can be maintained
by positive actions, based on trust. If the government tries to generate trust with well
functioning institutions, co-operation can be initiated or increased. Furthermore, when
taxpayers are satisfied with the way they are treated, the co-operation is enhanced. If the
outcome received from the government is judged to be fair in relation to the taxes paid,
no distress arises. Raiser, Haerpfer, Nowotny and Wallace (2001) found that in transition
countries, social capital in the form of civic participation and trust in public institutions
has a significant impact on growth. Weakness of the legal system is a major problem in a
process of transition. Levin and Satorov (2000) stress that after the collapse of socialism,
―judicial weakness left a legal vacuum that remains unfilled‖ (p. 120). Thus, as the
transition process gives the opportunity to build new trustworthy institutions, much
weight should be put on developing a trustworthy ground so that taxpayers feel
comfortable with paying taxes. Our results indicate that tax administration and
government are forced to drastically change their structures and their relationship with
taxpayers. As Casanegra de Jantscher et al. (1992) pointed out several years ago: ―A
major challenge for countries in transition will be to develop tax systems that facilitate,
rather than complicate compliance‖ (p. 140).
        Another driving force is corruption. In many former centrally planned economies,
the government and the administration still maintain a strong discretionary power over
the allocation of resources, implicitly enhancing corruption. Levin and Satarov (2000),
                                                                                           50
"
"515","e.g., analyze corruption and institutions in Russia. They criticize that corruption is an
integral part of Russia‘s economy. Levin and Satarov state that the degree of corruption
exceeds the total expenditures on science, education, health care, culture, and art. In some
industrial branches criminal groups spend up to 50% of their revenues to bribe officials
(p. 115). Tanzi (2002, p. 28) mentions several situations, in which corruption is likely to
be a problem in the tax administration:
        ―-the laws are difficult to understand and can be interpreted differently so that taxpayers
        need assistance in complying with them;
        -the payment of taxes requires frequent contacts between taxpayers and tax
        administrators;
        -the wages of the tax administrators are low;
        -acts of corruption on the part of the tax administrators are ignored, not easily discovered,
        or when discovered penalized only mildly;
        -the administrative procedures (e.g., the criteria for the selection of taxpayers for audits)
        lack transparency and are not closely monitored within the tax or customs
        administrations;
        -tax administrators have discretion over important decisions, such as those related to the
        provision of tax incentives, determination of tax liabilities, selection of audits, litigations,
        and so on‖
In countries where corruption is systemic and the government budget lacks transparency
it cannot be assumed that the obligation of paying taxes is an accepted social norm.
Corruption generally undermines the tax morale of the citizens who become frustrated.
Taxpayers will feel cheated if they believe that corruption is widespread and their tax
burden is not spent well. Corrupt bureaucracy will not award the services to the most
efficient producers, but to the producers which offers the largest bribes. Thus, corruption
reduces the efficiency of allocation and produces delays in transactions to acquire
additional payments (see, e.g., Rose-Ackerman, 1997; Jain, 2001).
        Figure 3 visualizes this point, checking the correlation between tax morale and
the corruption ratings commonly used in the literature. We use an average value
developed by Abed and Davoodi (2002, p.502), based on the rankings of the
                                                                                                     51
"
"516","Transparency International, the Political Risk Service, the International Risk Guide, and
the Business International. Focusing only on the corruption ratings one should note a
higher values go in line with lower corruption. We observe a highly positive correlation
between the corruption ratings and the tax morale, including 19 countries (r=0.610,
significant at the 0.01 level). In other words, a higher level of tax morale is correlated
with lower corruption. This result is consistent with Uslaner (2007) in showing that high
levels of perceived corruption are associated with high levels of tax evasion.
         Torgler (2007b) using a multivariate analysis indicates that there is a significant
negative correlation between tax morale and the perceived size of corruption. The
advantage of this study is that perceived corruption was collected at the individual level.
The use of ‗perceived corruption‘ is in line with other indexes employing measures of
perceptions (such as the Transparency International index). However, perceptions are not
objective, nor are they quantitative measures of the actual degree of corruption. Rather,
perceptions are an indirect mechanism for measuring corruption (Tanzi, 2002). However
Treisman (2000, pp. 410-411), in his analysis of the Transparency International index,
was able to present valid arguments as to why data based on perceptions should be taken
seriously. Components of the surveys and ratings are highly correlated among
themselves, even though they have been conducted with different methodologies,
different inputs and in different time periods. Such consistency allows us to conclude that
factors are almost free of biases such as a ―temporal mood‖ or guesses. A practical
method by which one can test whether the World Values Survey question about the
perceived corruption is through the use of a useful proxy to check whether the variable is
correlated with other well-known indexes on corruption. Thus, comparing the WVS
variable with the corruption indexes TI (Transparency International), International
Country Risk Guide (ICRG) and Quality of Government (Control of Corruption)
developed by Kaufmann, Kraay, and Mastruzzi (2004). The WVS corruption ratings
(higher values=lower corruption) are highly correlated with the TI (r= -0.878), the ICRG
(r=-0.680) and the Quality of Government rating (r=-0.827)12. Torgler‘s (2007b) results
indicate that an increase in the perceived level of corruption by one unit increases the
12
   The sign is negative because for all three ratings used (TI, ICRG and Quality of Government), a higher
score corresponds to a lower corruption.
                                                                                                      52
"
"517","share of subjects indicating the highest tax morale by more than 1.7 percentage points.
Thus, a higher degree of perceived corruption crowds out tax morale. If taxpayers notice
that many public officials are corrupt and many other taxpayers evade taxes, they might
get the feeling that their intrinsic motivation is not recognized or honored. Thus,
taxpayers get the feeling that they too can be opportunistic. The moral costs to evade
taxes decrease.
         Interestingly, Torgler (2003) also observe that the self-employed have a lower tax
morale than full-time employees. This result is not surprising, especially in transition
countries where self-employed individuals are confronted with and restricted by high
transaction costs imposed by unduly inefficient government activities13. States‘ position
and its reputation was affected due to numerous mistakes in the tax practices since the
beginning of the transformation process: ―The state‘s attitude in many instances can be
described as blatantly irresponsible. This usually took the form of continuously modified
tax policy concepts (partially implemented). When observing the politicians‘ behavior in
the area of taxes, one could get the impression that they juggled with tax instruments
without fully realizing that these ―toys‖ could go off one day. This attitude is typical of
almost all governments of post-communist countries where the applied fiscal tools fail to
ensure financial stability but their reform is opposed by the society‖ (Owsiak, 2007, p.
202). This induced a higher level of tax awareness, reputation costs, and a higher
sensibility towards unfair treatments: ―All attempts to improve the tax system on the part
of the state are treated with suspicion and highly criticized by the media‖ (p. 194).
                                    VIII. CONCLUSIONS
It seems to be important to consider the moral dimension of complying with societies‘
rules, underlying legal structure and countries‘ security of property rights. A failure of a
country‘s legal system undermines tax morale and tax compliance. Also, regulatory
restraints and bureaucratic procedures limit the operation of markets, enhancing the
13
   Djankov et al. (2002) show with data from 75 countries that in general heavier regulation of entry goes in
line with a higher corruption and a higher shadow economy. On the other hand, countries with more
democratic and limited governments have less entry regulations.
                                                                                                          53
"
"518","incentives to act in the shadow economy or to evade taxes. A more legitimate and
responsive state appears to be an essential precondition in generating compliance. If
individual and business contracts are not enforced and productive efforts not protected,
the incentive to be active illegally increases. Citizens feel cheated if corruption is
widespread, their tax burden is not spent well, and that they are not protected by the rules
of law. Such a situation also increases the incentive not be compliant. Discussing tax
reforms in transition Owsiak (2007, p. 223) stresses that ―reforms under way in post-
communist countries should not, at the present stage of in-depth restructuring of the
economy, rely exclusively on tax cuts but instead should concentrate on measures
enhancing citizen trust in law and on the removal of sources of tax-related abuse. The
establishment of a legal framework that would render the tax system stable, transparent,
simple, friendly to taxpayers, accompanied by concurrent implementation of a rational
mechanism for allocating and controlling public spending, highlighting the relation
between collected taxes and the benefits gained by local communities, would ultimately
determine whether society will welcome the development of tax-related civil behavioral
patterns‖ (p. 223). Evidence in the tax morale literature indicates that positive attitudes
towards the tax authority and tax system significantly increase tax morale. A respectful
and fair treatment of taxpayers induces respect for the tax system and thus leads to co-
operation. On the other hand, a higher perceived tax burden and inefficiencies and
unfairness in the interaction between the tax administration and the taxpayers crowds out
the intrinsic motivation to pay taxes. International evidence also shows that instead of
focusing so much on compliance management, risk control, or structuring the application
of enforcement discretion, it may make sense if the tax administration becomes more
focused on service, customers, quality, transparency and process improvement.
        Social norms or social capital are key factors in understanding the motivation for
compliance in transition countries and other regions. Moreover, social capital seems to be
an important determinant of economic phenomena like macroeconomic performance. For
example, Knack and Keefer (1997) find, in a cross-sectional analysis, a strong and
significantly positive relationship between social capital variables (civic duty) and
economic growth. Schaltegger and Torgler (2007), using data for a synthetic panel of
Swiss cantons over the 1981–2001 period, show that accountability enhances fiscal
                                                                                         54
"
"519","performance. As Slemrod (1998) argues, social capital – measured as the willingness to
pay taxes voluntarily – lowers the cost of government operations and of equitably
assigning such cost to citizens. Such research justifies a closer look at social capital and
societal institutions. A high level of governance and institutional quality allows one to
express one‘s own preferences, involvement and participation in the political process. It
also enhances identification with the state‘s institutions, counteracting inclinations to be
non-compliant. Participation and identification therefore reduce free-rider problems. If
citizens and authorities interact with a sense of collective responsibility under inspiring
institutional structures, the system may be better governed and the policies more
effective, as accountability promotes effectiveness through its impact on government
behavior (Schaltegger and Torgler, 2007). The institutional architecture and governance
quality seem to be a key component in the understanding of tax morale, the shadow
economy and tax performance.
         Changes in the political system have a substantial impact on tax morale. This can
be seen as an indicator that tax morale does not remain stable over time. Moreover, social
norms are not only shaped by formal and informal institutions but also by social
interactions. Evidence shows that if taxpayers believe tax evasion to be common, their
tax morale decreases. In contrast, if they believe others to be honest, their tax morale
increases. Results also indicate that social learning explains the observed conformity and
compliance with social norms after the unification of Germany. Tax morale within
Germany had slowly converged after unification and it seems that the convergence
process has been driven by a change in tax morale among East German individuals. As a
further natural experiment it may be interesting to look at tax morale changes over time
in the Czech and Slovak Republics due to the separation in 1992.
         In general, in most of the studies on tax morale and tax compliance, research has
focused on personal income tax. Business tax evasion has received very little attention.
This is a surprise taking into account the economic importance of the business sector and
the importance of business taxation for tax administrations. Work in this area is therefore
highly relevant for transition countries as results indicate that self-employed taxpayers
have a lower tax morale. Working with the Business Environment and Enterprise
                                                                                          55
"
"520","Performance Survey could provide further valuable insights (see, e.g., Hellman and
Kaufmann, 2002; Uslaner, 2010).
        No matter how good political institutions may be, however, countries will always
encounter difficulties in dealing with distributive issues. How one thinks about taxes and
inequality reflects ideas of fairness or social justice (Bird et al., 2006). Income inequality
is a central social and economic problem in many transition countries. Surprisingly, the
link between income inequality and tax morale, tax compliance and tax performance is
not well explored. As inequality in the distribution of wealth and income is strongly
connected with public views as to how well the fiscal system addresses social objectives
with respect to fairness, social justice and redistribution, a higher level of income
inequality may lead to lower levels of trust in institutions and eventually to lower tax
effort because of widespread tax avoidance and evasion. Highly unequal distributions of
income can also lead to low levels of solidarity by the elites toward lower income groups.
Furthermore, income inequality may be associated with political instability (Alesina and
Perotti, 1996). It may therefore be interesting to explore empirically the link between
income inequality and tax morale/tax compliance and tax performance in transition
countries (exploring also CEE and FSU countries independently).
        In addition, it is important to better understand tax administration‘s behavior, its
behavior and its structure in CEE and FSU countries over time. Results in the literature
indicate that if the tax administration tries to be honest, fair, informative, and helpful,
acting as a service institution and thus treating taxpayers as partners and not inferiors in a
hierarchical relationship, tax morale increases and taxpayers have stronger incentives to
pay taxes honestly. One could, e.g., conduct surveys with tax administrations to generate
further insights.
        In summary, the findings clearly indicate the relevance of models of tax
compliance that go beyond the conventional economics-of-crime approach and which
capture the role of institutions, more in particular, how individuals perceive their
governments, in explaining why individuals pay taxes. The report indicates the
importance of accountability, democratic governance, efficient, and transparent legal
structures and therefore trust within the society to enforce tax compliance and tax morale.
                                                                                           56
"
"521","Citizens‘ perceptions how governments work and how compliant other citizens are have a
strong impact on their willingness to comply.
                                                                                   57
"
"522","REFERENCES
Abed, G. T. and H. R. Davoodi (2002). Corruption, Structural Reforms, and Economic
        Performance in the Transition Economies, in: Abed, G.T. and S. Gupta (2002).
        Governance, Corruption and Economic Performance. Washington: International
        Monetary Fund: 489-537.
Acemoglu, D., S. Johnson, and J. A. Robinson, A. James (2002).An African Success Story:
        Botswana, CEPR Discussion Paper 3219.
Alesina, A. and R. Perotti (1996). Income Distribution, Political Instability, and Investment,
        European Economic Review. 40: 1203-1228.
Alesina, A., A. Devleeschauwer, W. Easterly, S. Kurlat and R. Waczeig (2003). Fractionalization,
        Journal of Economic Growth. 8: 155–194.
Adams, C. (1993). For Good and Evil: The Impact of Taxes on the Course of Civilization.
        London: Madison Books.
Alm, J. and J. L. Gomez (2008). Social Capital and Tax Morale in Spain, Economic Analysis &
        Policy. 38: 73-87.
Alm, J. and J. Martinez-Vazquez (2003). Institutions, Paradigms, and Tax Evasion in Developing
        and Transition Countries, in: J. Martinez-Vazquez and J. Alm (eds.), Public Finance in
        Developing and Transitional Countries – Essays in Honor of Richard Bird. Cheltenham,
        UK: Edward Elgar: 146-178.
Alm, J. and B. Torgler (2006). Culture Differences and Tax Morale in the United States and
        Europe, Journal of Economic Psychology. 27: 224-246.
Alm, J., B. R. Jackson and M. McKee (1993). Fiscal Exchange, Collective Decision Institutions,
        and Tax Compliance., Journal of Economic Behavior and Organization. 22: 285-303.
Alm, J., J. Martinez-Vazquez and B. Torgler (2006). Russian Attitudes Toward Paying Taxes –
        Before, During, and After the Transition, International Journal of Social Economics. 33:
        832-857.
Alm, J., J. Martinez-Vazquez, and B. Torgler (eds.) (2010). Developing Alternative Frameworks
        for Explaining Tax Compliance. London: Routledge.
Alm, J., G. H. McClelland and W. D. Schulze (1999). Changing the Social Norm of Tax
        Compliance by Voting, KYKLOS. 48: 141-171.
Allingham, M. G. and A. Sandmo (1972). Income Tax Evasion: A Theoretical Analysis, Journal
        of Public Economics. 1: 323-338.
                                                                                             58
"
"523","Andreoni, J., B. Erard and J. Feinstein (1998). Tax Compliance, Journal of Economic Literature.
        36: 818-860.
Akerlof, G. A. (1980). A Theory of Social Custom of Which Unemployment May Be One
        Consequence, Quarterly Journal of Economics. 94: 749-795.
Ayres, I., and J. Braithwaite (1992). Responsive Regulation: Transcending the deregulation
        debate. Oxford: Oxford University Press.
Bahl, R. (1999). Implementation Rules For Fiscal Decentralization. Working Paper, International
        Studies Program, School of Policy Studies. Atlanta: Georgia State University.
Bahl, Roy and Christine I. Wallich (1995). Intergovernmental Fiscal Relations in the Russian
        Federation.    In: Richard M. Bird, Robert D. Ebel, and Christine I. Wallich (eds.),
        Decentralization of the Socialist State. Washington, D.C.: The World Bank: 321-378.
Becker, G. S. (1968). Crime and Punishment: An Economic Approach, Journal of Political
        Economy. 76: 169-217.
Bogetić, Ž (1995). Bulgaria in Transition: An Overview, in: Ž. Bogetić, and A. L. Hillman (eds.),
        Financing Government in the Transition: Bulgaria. Washington: The World Bank: 9-29.
Bogetić, Ž. and F. M. A. Hassan (1997). Personal Income Tax Reform and Revenue Potential in
        Transition Economies: Bulgaria, Journal for Institutional Innovation, Development and
        Transition. 1: 24-36.
Braithwaite, J. and T. Makkai (1994). Trust and compliance. Policing and Society, 4, 1-12.
Bristow J. (2000). Bulgaria, in: P. Heenan, M. La Montagne (eds.), The Central and East
        European Handbook. Chicago: Glenlake Pubblishing: 56-67.
Bird, R., J. Martinez-Vazquez and B. Torgler (2006). Societal Institutions and Tax Effort in
        Developing Countries, in: J. Alm, J. Martinez-Vazquez and M. Rider (eds.), The
        Challenges of Tax Reform in the Global Economy. New York: Springer, pp. 283-338.
Bird, R. M., J. Martinez-Vazquez, and B. Torgler (2008). Tax Effort in Developing Countries and
        High Income Countries: The Impact of Corruption, Voice and Accountability, Economic
        Analysis & Policy. 38: 55-71.
Blanchard, O. and A. Shleifer (2001). Federalism With and Without Political Centralization:
        China Versus Russia, IMF Staff Papers, 48: 171-179.
Blankart, C.B. (2002). Steuern als Preise, Schweizerische Zeitschrift für Volkswirtschaft und
        Statistik. 138: 19-38.
Bowles, S. (1998). Endogenous Preferences: The Cultural Consequences of Markets and other
        Economic Institutions, Journal of Economic Literature. 46: 75-111.
                                                                                             59
"
"524","Campos N. F. and F. Coricelli (2002). Growth in Transition: What We Know, What We Don‘t,
        and What We Should, Journal of Economic Literature. XL: 793-836.
Casanegra de Jantscher, M., C. Silvani, C. L. Vehorn (1992). Modernizing Tax Administration,
        in: V. Tanzi      (eds.), Fiscal Policies in Economies in Transition. Washington:
        International Monetary Fund: 120-141.
Choi, J. P. and M. Thum (2005). Corruption and the Shadow Economy, International Economic
        Review. 46: 817-836.
Chung, P. (1976). On Complaints about High Taxes, an Analytical Note, Public Finance. 31: 36-
        47.
Cialdini, R. B. (1989). Social Motivations to Comply: Norms, Values and Principles., in J. A.
        Roth and J. T. Scholz (eds.), Taxpayer Compliance, Volume 2. Philadelphia: University
        of Pennsylvania Press, pp. 200-227.
Comín, F. (2007). Reaching a Political Consensus in Spain: The Moncloa Pacts, Joining the
        European Union and The Rest of the Journey, in: J. Martinez-Vazquez and J. Félix Sanz-
        Sanz (eds.), Fiscal Reform in Spain. Cheltenham, UK: Edward Elgar.
Cowell, F. A. (1990). Cheating the Government. The Economics of Evasion. Cambridge: MIT
        Press.
Cooter, R.D. (1998). Expressive Law and Economics, Journal of Legal Studies. 27: 585-608.
Cummings, R. G. J. Martinez-Vazquez, M. McKee and B. Torgler (2009). Tax Morale Affects
        Tax Compliance: Evidence from Survey and an Artefactual Field Experiment, Journal of
        Economic Behavior and Organization. 70: 447-457.
D‘Ascenzo, M. and Poulakis, T. (2002). Self-assessment: quo vadis? Taxation in Australia, 36(8),
        412-416.
Deininger, K. and L. Squire (1996). ―A New Data Set Measuring Income Inequality,‖ World
        Bank Economic Review. 10 (3): 565-591.
Dreher, A. and F. Schneider (2010). Corruption and the Shadow Economy: An Empirical
        Analysis, forthcoming in: Public Choice.
Dreher, A., C. Kotsogiannis and S. McCorriston (2009). How do institutions affect corruption and
        the shadow economy? International Tax and Public Finance. 16: 773-796.
Djankov, S., R. La Porta, F. Lopez de Silanes and A. Shleifer (2002). The Regulation of Entry,
        Quarterly Journal of Economics. 117: 1-37.
Ensley, M. and M. C. Munger (2001). Ideological Competition and Institutions: Why ―Cultural‖
        Explanations of Development Patterns Are Not Nonsense, in: Mudambi, Navarra and
                                                                                              60
"
